196,32.0,34.0,64.0,24.0,38.0
197,32.0,32.0,60.0,28.0,37.0
198,35.0,33.0,57.0,24.0,36.0
199,39.0,32.0,59.0,26.0,35.0
200,39.0,31.0,56.0,25.0,33.0
201,40.0,37.0,55.0,22.0,34.0
202,35.0,43.0,52.0,24.0,33.0
203,34.0,46.0,51.0,26.0,35.0
204,33.0,45.0,48.0,29.0,39.0
205,32.0,42.0,49.0,35.0,38.0
206,40.0,39.0,45.0,33.0,40.0
207,37.0,38.0,44.0,35.0,40.0
208,38.0,39.0,45.0,38.0,36.0
209,41.0,43.0,41.0,39.0,36.0
210,40.0,44.0,40.0,41.0,33.0
211,32.0,42.0,48.0,39.0,29.0
212,29.0,43.0,51.0,41.0,25.0
213,29.0,45.0,49.0,42.0,24.0
214,31.0,48.0,48.0,41.0,23.0
215,32.0,46.0,48.0,40.0,20.0
216,35.0,47.0,47.0,39.0,19.0
217,34.0,43.0,45.0,38.0,19.0
218,34.0,45.0,48.0,36.0,25.0
219,33.0,50.0,47.0,33.0,32.0
220,31.0,50.0,43.0,29.0,31.0
221,32.0,49.0,41.0,29.0,31.0
222,31.0,48.0,38.0,28.0,35.0
223,31.0,47.0,36.0,28.0,36.0
224,27.0,45.0,34.0,31.0,35.0
225,25.0,44.0,31.0,36.0,34.0
226,25.0,41.0,29.0,38.0,32.0
227,34.0,38.0,27.0,44.0,33.0
228,33.0,37.0,28.0,52.0,32.0
229,33.0,38.0,26.0,50.0,30.0
230,31.0,36.0,25.0,56.0,27.0
231,31.0,45.0,26.0,57.0,27.0
232,30.0,49.0,23.0,55.0,28.0
233,30.0,49.0,23.0,52.0,31.0
234,29.0,49.0,24.0,54.0,31.0
235,27.0,49.0,21.0,52.0,29.0
236,28.0,50.0,22.0,48.0,24.0
237,30.0,46.0,24.0,48.0,23.0
238,27.0,44.0,20.0,48.0,29.0
239,27.0,40.0,21.0,47.0,36.0
240,29.0,38.0,19.0,46.0,47.0
241,30.0,35.0,20.0,45.0,50.0
242,30.0,33.0,19.0,44.0,54.0
243,29.0,33.0,18.0,50.0,55.0
244,28.0,34.0,17.0,57.0,51.0
245,33.0,32.0,20.0,56.0,50.0
246,36.0,30.0,26.0,58.0,47.0
247,36.0,31.0,30.0,58.0,41.0
248,37.0,27.0,29.0,59.0,40.0
249,42.0,27.0,27.0,59.0,38.0
250,44.0,28.0,26.0,57.0,37.0
251,49.0,26.0,25.0,56.0,44.0
252,48.0,34.0,23.0,53.0,50.0
253,48.0,33.0,31.0,46.0,51.0
254,50.0,30.0,34.0,49.0,51.0
255,48.0,28.0,34.0,50.0,50.0
256,44.0,27.0,34.0,45.0,49.0
257,41.0,29.0,32.0,42.0,46.0
258,37.0,30.0,28.0,52.0,43.0
259,35.0,29.0,23.0,50.0,44.0
260,33.0,27.0,20.0,48.0,49.0
261,36.0,26.0,20.0,48.0,51.0
262,37.0,25.0,20.0,48.0,52.0
263,38.0,26.0,18.0,46.0,56.0
264,45.0,24.0,25.0,46.0,57.0
265,46.0,23.0,28.0,44.0,51.0
266,45.0,20.0,29.0,45.0,49.0
267,46.0,19.0,26.0,50.0,48.0
268,45.0,19.0,26.0,51.0,44.0
269,45.0,23.0,24.0,47.0,42.0
270,41.0,31.0,24.0,47.0,38.0
271,38.0,33.0,26.0,49.0,38.0
272,35.0,33.0,28.0,51.0,37.0
273,33.0,30.0,34.0,49.0,34.0
274,30.0,28.0,35.0,47.0,34.0
275,31.0,26.0,35.0,47.0,40.0
276,30.0,25.0,34.0,43.0,45.0
277,27.0,24.0,31.0,40.0,45.0
278,31.0,36.0,27.0,39.0,45.0
279,34.0,39.0,28.0,36.0,44.0
280,34.0,36.0,28.0,30.0,42.0
281,37.0,37.0,28.0,29.0,40.0
282,37.0,42.0,29.0,27.0,40.0
283,38.0,40.0,27.0,24.0,42.0
284,39.0,37.0,27.0,21.0,46.0
285,38.0,37.0,27.0,19.0,50.0
286,37.0,37.0,35.0,25.0,48.0
287,30.0,35.0,48.0,26.0,47.0
288,29.0,37.0,49.0,29.0,45.0
289,28.0,39.0,50.0,28.0,45.0
290,24.0,43.0,51.0,28.0,46.0
291,29.0,46.0,48.0,27.0,44.0
292,28.0,46.0,45.0,32.0,44.0
293,28.0,44.0,42.0,31.0,56.0
294,28.0,46.0,40.0,31.0,56.0
295,30.0,46.0,35.0,28.0,55.0
296,32.0,43.0,31.0,24.0,61.0
297,35.0,44.0,35.0,31.0,59.0
298,34.0,54.0,34.0,31.0,56.0
299,36.0,55.0,31.0,31.0,52.0
300,39.0,55.0,29.0,33.0,51.0
301,40.0,54.0,29.0,33.0,48.0
302,40.0,54.0,32.0,31.0,46.0
303,42.0,51.0,33.0,30.0,43.0
304,39.0,61.0,33.0,27.0,42.0
305,37.0,62.0,40.0,27.0,41.0
306,35.0,59.0,45.0,36.0,40.0
307,35.0,58.0,46.0,40.0,37.0
308,35.0,57.0,48.0,40.0,37.0
309,39.0,55.0,49.0,39.0,35.0
310,48.0,54.0,44.0,37.0,34.0
311,49.0,52.0,44.0,35.0,34.0
312,48.0,51.0,42.0,32.0,32.0
313,46.0,51.0,41.0,30.0,31.0
314,45.0,50.0,42.0,28.0,31.0
315,46.0,47.0,39.0,26.0,29.0
316,48.0,43.0,40.0,21.0,26.0
317,46.0,45.0,41.0,21.0,22.0
318,44.0,45.0,41.0,21.0,22.0
319,42.0,44.0,41.0,21.0,17.0
320,41.0,44.0,41.0,17.0,16.0
321,42.0,43.0,43.0,16.0,16.0
322,40.0,43.0,43.0,15.0,15.0
323,38.0,48.0,39.0,13.0,18.0
324,35.0,53.0,38.0,13.0,24.0
325,35.0,52.0,38.0,13.0,33.0
326,33.0,54.0,34.0,14.0,34.0
327,30.0,52.0,33.0,19.0,34.0
328,39.0,54.0,33.0,21.0,32.0
329,42.0,53.0,29.0,22.0,31.0
330,36.0,56.0,31.0,20.0,27.0
331,37.0,57.0,35.0,19.0,25.0
332,38.0,55.0,31.0,19.0,25.0
333,43.0,53.0,30.0,19.0,24.0
334,47.0,50.0,32.0,22.0,22.0
335,44.0,49.0,33.0,21.0,21.0
336,46.0,47.0,31.0,20.0,19.0
337,47.0,54.0,32.0,19.0,18.0
338,45.0,60.0,32.0,19.0,16.0
339,44.0,61.0,31.0,20.0,16.0
340,43.0,59.0,35.0,20.0,15.0
341,42.0,57.0,44.0,20.0,18.0
342,40.0,58.0,45.0,23.0,20.0
343,36.0,57.0,43.0,26.0,30.0
344,43.0,55.0,41.0,28.0,33.0
345,50.0,50.0,40.0,33.0,30.0
346,48.0,51.0,40.0,38.0,27.0
347,48.0,49.0,37.0,43.0,27.0
348,48.0,42.0,37.0,46.0,27.0
349,46.0,40.0,35.0,46.0,27.0
350,48.0,42.0,34.0,45.0,27.0
351,46.0,41.0,33.0,40.0,24.0
352,45.0,45.0,32.0,41.0,22.0
353,43.0,53.0,29.0,38.0,22.0
354,44.0,54.0,28.0,39.0,22.0
355,43.0,52.0,31.0,39.0,21.0
356,39.0,47.0,34.0,44.0,20.0
357,38.0,45.0,35.0,45.0,19.0
358,33.0,42.0,34.0,49.0,17.0
359,35.0,41.0,39.0,47.0,16.0
360,32.0,45.0,37.0,49.0,15.0
361,30.0,44.0,34.0,50.0,24.0
362,30.0,49.0,32.0,49.0,23.0
363,31.0,55.0,30.0,46.0,23.0
364,31.0,58.0,28.0,46.0,23.0
365,37.0,55.0,28.0,49.0,21.0
366,42.0,54.0,28.0,49.0,19.0
367,44.0,50.0,25.0,45.0,18.0
368,48.0,47.0,24.0,42.0,18.0
369,49.0,45.0,27.0,40.0,16.0
370,52.0,44.0,28.0,40.0,15.0
371,51.0,39.0,27.0,42.0,12.0
372,49.0,37.0,31.0,43.0,10.0
373,50.0,35.0,42.0,45.0,10.0
374,50.0,31.0,42.0,48.0,11.0
375,47.0,30.0,42.0,51.0,18.0
376,47.0,29.0,40.0,50.0,18.0
377,44.0,28.0,48.0,49.0,19.0
378,45.0,30.0,49.0,47.0,35.0
379,52.0,28.0,49.0,46.0,35.0
380,50.0,27.0,46.0,45.0,36.0
381,48.0,33.0,45.0,43.0,36.0
382,47.0,35.0,44.0,45.0,33.0
383,51.0,37.0,41.0,44.0,31.0
384,51.0,38.0,42.0,41.0,27.0
385,48.0,39.0,42.0,41.0,25.0
386,50.0,40.0,44.0,40.0,25.0
387,47.0,41.0,47.0,37.0,25.0
388,43.0,41.0,47.0,36.0,30.0
389,42.0,39.0,48.0,32.0,30.0
390,41.0,37.0,48.0,32.0,34.0
391,37.0,40.0,46.0,31.0,38.0
392,35.0,42.0,45.0,26.0,40.0
393,32.0,38.0,49.0,22.0,37.0
394,29.0,35.0,51.0,22.0,37.0
395,30.0,36.0,57.0,22.0,32.0
396,30.0,35.0,59.0,27.0,33.0
397,29.0,36.0,53.0,24.0,29.0
398,28.0,42.0,50.0,25.0,28.0
399,27.0,46.0,47.0,31.0,28.0
400,22.0,43.0,51.0,30.0,26.0
401,22.0,42.0,49.0,26.0,28.0
402,21.0,46.0,48.0,27.0,29.0
403,22.0,47.0,50.0,29.0,30.0
404,21.0,47.0,50.0,28.0,32.0
405,24.0,48.0,48.0,24.0,33.0
406,23.0,47.0,49.0,24.0,32.0
407,25.0,47.0,46.0,27.0,30.0
408,25.0,47.0,43.0,35.0,31.0
409,27.0,49.0,40.0,37.0,28.0
410,23.0,47.0,35.0,46.0,26.0
411,25.0,47.0,35.0,47.0,26.0
412,26.0,47.0,32.0,43.0,23.0
413,25.0,48.0,33.0,42.0,25.0
414,25.0,48.0,34.0,38.0,34.0
415,25.0,45.0,45.0,38.0,38.0
416,27.0,44.0,44.0,37.0,39.0
417,24.0,44.0,40.0,37.0,44.0
418,27.0,40.0,34.0,34.0,50.0
419,30.0,40.0,32.0,30.0,50.0
420,31.0,36.0,31.0,31.0,54.0
421,32.0,32.0,31.0,29.0,58.0
422,38.0,34.0,29.0,29.0,58.0
423,37.0,33.0,30.0,29.0,56.0
424,37.0,41.0,32.0,30.0,52.0
425,34.0,42.0,40.0,27.0,47.0
426,36.0,37.0,48.0,25.0,43.0
427,35.0,47.0,46.0,23.0,43.0
428,33.0,47.0,45.0,23.0,41.0
429,32.0,45.0,42.0,22.0,36.0
430,33.0,49.0,41.0,21.0,34.0
431,31.0,52.0,40.0,19.0,33.0
432,31.0,63.0,40.0,18.0,32.0
433,32.0,62.0,39.0,24.0,30.0
434,41.0,61.0,37.0,25.0,29.0
435,45.0,57.0,36.0,24.0,28.0
436,49.0,52.0,36.0,22.0,26.0
437,49.0,50.0,37.0,20.0,24.0
438,44.0,49.0,35.0,25.0,22.0
439,44.0,51.0,38.0,25.0,19.0
440,41.0,55.0,40.0,25.0,17.0
441,38.0,55.0,41.0,22.0,15.0
442,34.0,54.0,40.0,25.0,13.0
443,33.0,60.0,38.0,26.0,17.0
444,32.0,59.0,40.0,27.0,14.0
445,28.0,59.0,39.0,32.0,16.0
446,27.0,58.0,41.0,39.0,20.0
447,24.0,56.0,39.0,38.0,19.0
448,27.0,53.0,37.0,35.0,21.0
449,25.0,51.0,35.0,36.0,23.0
450,26.0,50.0,36.0,35.0,23.0
451,28.0,47.0,41.0,36.0,19.0
452,33.0,47.0,43.0,33.0,18.0
453,38.0,45.0,43.0,33.0,18.0
454,40.0,42.0,46.0,30.0,18.0
455,37.0,38.0,50.0,31.0,14.0
456,35.0,36.0,56.0,34.0,13.0
457,33.0,34.0,58.0,35.0,14.0
458,34.0,34.0,61.0,35.0,14.0
459,32.0,35.0,63.0,33.0,13.0
460,32.0,44.0,61.0,31.0,19.0
461,35.0,40.0,58.0,28.0,20.0
462,37.0,44.0,57.0,29.0,21.0
463,39.0,44.0,55.0,26.0,24.0
464,42.0,39.0,54.0,20.0,25.0
465,40.0,35.0,56.0,22.0,26.0
466,41.0,34.0,56.0,21.0,28.0
467,37.0,33.0,60.0,19.0,30.0
468,38.0,31.0,62.0,18.0,31.0
469,35.0,31.0,59.0,19.0,39.0
470,36.0,29.0,58.0,31.0,38.0
471,43.0,33.0,59.0,32.0,36.0
472,44.0,32.0,59.0,28.0,36.0
473,47.0,32.0,61.0,29.0,36.0
